AIIC,Switzerland,Switzerland
Anhui University,China,Anhui
Beijing Foreign Studies University,China,Beijing
"Capital
Normal University",China,Beijing
Central China Normal University,China,Hubei
Central South University,China,Hunan
Chang Jung Christian University,China,Taiwan
Changchun University of Science and Technology,China,Jilin
China Foreign Affairs University,China,Beijing
China University of Geosciences,China,Beijing
Chongqing University,China,Chongqing
Dalian Maritime University,China,Liaoning
Dalian University of Technology,China,Liaoning
Dongbei University of Finance and Economics,China,Liaoning
Donghua University,China,Shanghai
East China Normal University,China,Shanghai
Fu Jen Catholic University,China,Taiwan
Gannan Normal University,China,Jiangxi
Guangdong University of Foreign Studies,China,Guangdong
Guangxi Normal University,China,Guangxi
Guangxi University,China,Guangxi
Hangzhou Dianzi University,China,Zhejiang
Harbin Institute of Technology,China,Heilongjiang
Harbin Normal University,China,Heilongjiang
Harbin University of Science and Technology,China,Heilongjiang
Hebei University,China,Hebei
Hefei University of Technology,China,Anhui
Heilongjiang University,China,Heilongjiang
Henan University,China,Henan
Huazhong Normal University,China,Hubei
Huazhong University of Science and Technology,China,Hubei
Hubei University,China,Hubei
Hubei University of Technology,China,Hubei
Hunan Normal University,China,Hunan
Hunan University,China,Hunan
Hunan University of Technology,China,Hunan
Inner Mongolia University,China,Inner Mongolia
Jiangnan University,China,Jiangsu
Jiangsu University,China,Jiangsu
Jiangxi Normal University,China,Jiangxi
Jiangxi University of Finance and Economics,China,Jiangxi
Jilin University,China,Jilin
Lanzhou University,China,Gansu
Liaoning Normal University,China,Liaoning
Nanjing Agricultural University,China,Jiangsu
Nanjing Normal University,China,Jiangsu
Nanjing University of Finance and Economics,China,Jiangsu
Nankai University,China,Jiangsu
National Changhua University of Education,China,Taiwan
National Chiao Tung University,China,Taiwan
National Kaohsiung First University of Science and Technology,China,Taiwan
National Taiwan Normal University,China,Taiwan
National Taiwan University of Science and Technology,China,Taiwan
National Yunlin University of Science and Technology,China,Taiwan
Northeast Forestry University,China,Heilongjiang
Northwest Normal  University,China,Gansu
Northwest University,China,Gansu
Northwestern Polytechnical University,China,Shaanxi
Ocean University of China,China,Shandong
Qingdao University,China,Shandong
Qufu Normal University,China,Shandong
Shandong Normal University,China,Shandong
Shandong University,China,Shandong
Shandong University of Science and Technology,China,Shandong
Shanghai International Studies University,China,Shanghai
Shanghai Jiaotong University,China,Shanghai
Shanghai Maritime University,China,Shanghai
Shanghai Normal University,China,Shanghai
Shanghai University,China,Shanghai
Shanxi Normal University,China,Shanxi
Shanxi University,China,Shanxi
Shenyang Normal University,China,Liaoning
Sichuan International Studies University,China,Sichuan
Sichuan Normal University,China,Sichuan
Sichuan University,China,Sichuan
Southeast University,China,Jiangsu
Southwest Jiaotong University,China,Sichuan
Southwest Normal University,China,Sichuan
Southwest Petroleum Institute,China,Sichuan
Southwest University,China,Sichuan
Sun Yat-Sen University,China,Guangdong
Suzhou University,China,Jiangsu
Taiyuan University of Technology,China,Shanxi
Tamkang University,China,Taiwan
Tianjin Normal University,China,Tianjin
Tianjin University,China,Tianjin
Tianjin University of Technology,China,Tianjin
University of International Business & Economics,China,Beijing
University of Electronic Science and Technology of China,China,Sichuan
Wuhan University,China,Hubei
Wuhan University of Technology,China,Hubei
Xiamen University,China,Fujian
Xi'an International Studies University,China,Shaanxi
Xiangtan University,China,Hunan
Xidian University,China,Shaanxi
Yangtze University,China,Hubei
Yangzhou University,China,Jiangsu
Zhejiang Gongshang University,China,Zhejiang
Zhejiang Normal University,China,Zhejiang
Zhejiang University,China,Zhejiang
Aarhus University,Northern Europe,Denmark
Adam Mickiewicz University,Central Europe,Poland
"Ankara, Hacettepe University",Western Asia ,Turkey
Bar Ilan University,Western Asia,Israel
Bo?azi‡i University,Western Asia ,Turkey
Charles University of Prague,Central Europe,Czech Republic
Daito Bunka University,East Asia,Japan
University of Copenhagen,Northern Europe,Denmark
Universit„t Leipzig,Western-Central Europe,Germany
University of Heidelberg,Western-Central Europe,Germany
Dublin City University,North-West of Continental Europe,Ireland
University of Geneva,Western-Central Europe,Switzerland
Universit‚ Paris III,Western Europe,France
Johannes Gutenberg-Universit„t Germersheim/Mainz,Western-Central Europe,Germany
Hacettepe University,Western Asia ,Turkey
Hogeschool-Universiteit Brussel,Western Europe,Belgium
ITAT Graz,Central Europe,Austria
Jagellonian University of Cracov,Central Europe,Poland
HIVT Antwerpen,Western Europe,Belgium
Universit‚ Stendhal-Grenoble III,Western Europe,France
INALCO,Western Europe,France
"Moscow State University, Russia",Northern Eurasia,Russia
Osaka University,East Asia,Japan
University of Granada,Southwestern Europe,Spain
University of Joensuu,Northern Europe,Finland
Sofia University,Southeastern Europe,Bulgaria
University of Trieste,Southern Europe,Italy
SSLMIT Forli,Southern Europe,Italy
SSLMIT Trieste,Southern Europe,Italy
Universita degli Studi di Bologna,Southern Europe,Italy
Tabriz State University,Western Asia,Iran
"Technical University of Y?ld?z, Istanbul",Western Asia ,Turkey
ISIT,North America,Mexico
University of Witwatersrand,Southern tip of Africa,South Africa
Tokyo University of Foreign Studies,East Asia,Japan
University of Vigo,Southwestern Europe,Spain
Universidade Federal de Minas Gerais,South America,Brazil
Universit„t Hamburg,Western-Central Europe,Germany
Universitat Pompeu Fabra,Southwestern Europe,Spain
"Universit‚ catholique de Louvain, Institut de Linguistique",Western Europe,Belgium
Universit‚ de Mons Hainault,Western Europe,Belgium
universit‚ LumiŠre Lyon 2,Western Europe,France
Universit‚ Lyon,Western Europe,France
Universit‚ Paris 8,Western Europe,France
University of Bath,North-Western Coast of Continental Europe,United Kingdom
University of Bologna,Southern Europe,Italy
University of Bradford,North-Western Coast of Continental Europe,United Kingdom
University of Helsinki (Kouvola),Northern Europe,Finland
University of Kouvola,Northern Europe,Finland
"University of Maribor, Slovenia",Southern Central Europe,Slovenia
University of Montreal,North America,Canada
University of Poznan,Central Europe,Poland
University of Silesia,Central Europe,Poland
University of Tampere,Northern Europe,Finland
University of Tartu,Northern Europe,Estonia
University of Turku,Northern Europe,Finland
University of Vienna,Central Europe,Austria
Vasa Universitet,Northern Europe,Finland
