the relationship between personality traits and job satisfaction a study of freelance interpreters in taiwan,0
an initial investigation of interpreters work values and job satisfaction in taiwan,1
an exploratory study of the working environment of conference interpreters focusing on builtin booths in taipei,2
an exploratory study of freelance conference interpreters impression management during interactions with agents and clients,3
an analysis of the current state of the private interpreting sector in taiwan,4
a study of impact of chinese lingual chauvinism on interpreting during canton trade formation of tongshi in qing dynasty,5
shadowing and simultaneous interpretation,6
analysis of the interpreting industry in taiwan with a focus on chineseenglish conference interpreting,7
completeness faithfulness and succinctness in simultaneous interpreting,8
clausefinal conditional structure in englishchinese simultaneous interpreting,9
discourse cohesion and its application in chineseenglish consecutive interpreting,10
how to interpret relative clauses in englishchinese simultaneous interpreting,11
structural homogeneity in englishchinese simultaneous interpreting,12
problem triggers in improvised and prepared speeches for simultaneous interpreting,13
noun phrases as syntactic irreconcilability in englishchinese simultaneous interpreting,14
simultaneous interpreting on accuracy in chineseenglish directionality,15
quality with and without text for native chinese speakers case studies in simultaneous interpreting,16
construction of meaning and schema in interpretation,17
word and context as anticipatory elements in simultaneous interpreting,18
refinement and resolution of notetaking in englishchinese consecutive interpreting,19
understanding passive voice in simultaneous interpreting,20
capacity and collision of notetaking and performance in consecutive interpreting,21
the referential language of powerpoint in chineseenglish simultaneous interpreting,22
a survey on englishchinese si output,23
a cognitive analysis of and solutions for syntactical differences in chineseenglish simultaneous interpreting,24
analysis on functional conversion from nouns to verbs in si,25
syntactic differences in englishchinese simultaneous interpretation and interpreting strategies post modifiers and the impersonal it,26
reining in the predicate element of englishchinese simultaneous interpreting,27
the fundamental role of sight translation training for simultaneous interpretation,28
a tentative study of word order in chineseenglish simultaneous interpretation,29
anticipation and prediction in simultaneous interpretation,30
a comparison of accuracy in consecutive and simultaneous chineseenglish interpreting,31
an analysis of the principles of notetaking in consecutive interpreting,32
linear translation and englishchinese simultaneous interpreting,33
the use of syntactic linearity in englishchinese simultaneous interpreting,34
challenges posed by negative sentences on englishchinese simultaneous interpreting,35
background knowledges influence on the performance of english to chinese interpreting,36
readout speech and improvised speech an empirical study on the impact of two different speech styles on si output,37
on the techniques of translating numbers in chineseenglish simultaneous interpretation,38
to understand and communicate the source language meaning the core principle of interpreting,39
a comparative analysis on anticipation and waiting approaches in chineseenglish simultaneous interpreting,40
significance of verboriented conversion of parts of speech in englishchinese simultaneous interpreting,41
the impact of problem triggers on chineseenglish simultaneous interpretation,42
the more slowly the better,43
an empirical study on the types of omission and countermeasures in chineseenglish simultaneous interpreting,44
influence of interrogative sentences on chineseenglish simultaneous interpretation performance and handling strategies,45
effect of word order differences between english and chinese on accuracy of ench simultaneous interpretation by trainees and the coping tactic of segmentation,46
theoretical basis and practical effectiveness of penetrationnoting symbols,47
a preliminary study on evs in interpreting numbers enumerations and idioms in chineseenglish si,48
the significance of sight translation training for simultaneous interpreting training,49
on redundancy and repetition in ce simultaneous interpreting,50
sentencefinal asclauses in englishchinese simultaneous interpretation,51
conjunction in the english to chinese consecutive interpreting,52
implications of different preparation levels for simultaneous interpreting quality in technical meetings,53
a thesis on the slim and accurate production in chinese to english simultaneous interpretation,54
the impact of changes of themerheme structures on english to chinese simultaneous interpreting,55
a thesis on problem triggers and coping tactics in simultaneous interpreting,56
audience evaluation of consecutive and simultaneous interpreting,57
a cognitivepragmatic analysis of anticipation in chineseenglish simultaneous interpretation by trainees,58
translating numbers in simultaneous interpretation a comparative study on note taking in englishchinese and chineseenglish interpretation,59
simultaneous interpretation background information and interpretation skills,60
a study of deverbalization in consecutive interpretation,61
the comparison of two models of consecutive interpretation,62
on the importance of the logic analysis of notetaking in long consecutive interpreting,63
short consecutive interpreting with or without notes,64
the faithfulness and expressiveness of impromptu speech interpreting an empirical study of chineseenglish simultaneous interpreting,65
background information and chineseenglish simultaneous interpretation,66
a thesis on redundant information in simultaneous interpreting,67
impact of conjunctive elements on the quality of chineseenglish simultaneous interpreting,68
on understanding and notetaking in ench consecutive interpretation,69
on amplification of ce consecutive interpretation from a crosslingual difference perspective,70
on clear and concise production in ench simultaneous interpreting for impromptu speeches,71
an empirical study on the correlation between speech speed and the accuracy of english to chinese simultaneous interpreting,72
the use of plain english in chineseenglish simultaneous interpretation,73
on factors influencing interpretation of linguistic and extralinguistic knowledge in consecutive interpreting,74
influence of content density of chinese abbreviations on chineseenglish simultaneous interpretation,75
influence of abbreviations on chineseenglish simultaneous interpretation performance and handling tactics,76
rhythmic irregularities and their causes in ce simultaneous interpretation of written speeches,77
a study on the reception of listeners with different backgrounds in englishchinese simultaneous interpretation,78
on measures against the unclear logic of the source language during the chen simultaneous interpretation,79
strategies for problems triggers in chineseenglish simultaneous interpretation of student interpreters,80
on output of flexible sentence patterns in chineseenglish simultaneous interpretation,81
text cohesion and coherence in the context of english to chinese simultaneous interpretation,82
deverbalisation in ench simultaneous interpretation,83
a comparative study on simplification in chineseenglish simultaneous interpretation with and without text,84
effects of transfer redundancy on the quality of ch en simultaneous interpretation and coping tactics,85
an analysis on the impact of unknown names on information loss in chen simultaneous interpretation,86
a comparative study of the two modes of consecutive interpreting,87
on omission and misinterpretation in english to chinese simultaneous interpretation,88
effectiveness of appropriate note layout in improving ench consecutive interpretation quality,89
the impact of background information on omissions and errors in ec simultaneous interpretation from the perspective of effort model,90
on deverbalization tactics applicable to chen simultaneous interpretation,91
the impact of notetaking on interpreters performance in consecutive interpreting,92
an empirical comparative study of chineseenglish simultaneous interpretation with and without text comparisons of earvoicespan and translation accuracy,93
influence of quoted classic chinese on chineseenglish simultaneous interpretation quality and interpretation strategies,94
impacts of long sentences on the quality of chen simultaneous interpretation in textreading speeches and handling tactics,95
application of schema theory in encn simultaneous interpretation an experimental study on background knowledge,96
a comparative study of simultaneous interpretation with transcripts and with slides,97
impact of speech speed and tactics in ec simultaneous interpretation,98
the influence on the quality of englishchinese simultaneous interpretation with or without texts,99
usefulness of texts and slides received immediately before the speech in englishchinese simultaneous interpretation,100
a study on the variability of fidelity assessment in simultaneous interpretation,101
a comparative study on the performance of englishchinese simultaneous interpretation under different sound input models,102
the effort model on processing numbers in english to chinese simultaneous interpretation,103
an empirical study into shadowing as an exercise in simultaneous interpretation,104
an analysis of the impact of graphic and text powerpoint in englishchinese simultaneous interpretation,105
on omission in ench simultaneous interpretation for interviews,106
influence of numbers on the quality of chineseenglish simultaneous interpretation,107
an effort model explanation of the difficulties caused by word order differences in chineseenglish simultaneous interpretation and a study on relevant solutions,108
the impact of repetition on chinese to english simultaneous interpretation and relevant handling strategies,109
common rendition problems for learners in ec simultaneous interpretation and coping strategies,110
analysis of the importance of anticipation in chineseenglish simultaneous interpreting based on long attributives and long adverbials in chinese,111
deverbalisation in chen simultaneous interpretation,112
influence of unfamiliar words on englishchinese simultaneous interpretation and coping strategies,113
on numbers processing skills in simultaneous interpretation in commercial and trade conferences,114
the influence of interpreters familiarity with nonnative speakers accent on englishchinese consecutive interpretation,115
impacts of prepositions on englishchinese simultaneous interpretation and handling strategies,116
the relationship between speakers rate of delivery and coherence of output in englishchinese simultaneous interpreting,117
notetaking strategies influence on the quality of englishchinese consecutive interpretation with fast speech,118
a study on handling culturally loaded words in chineseenglish simultaneous interpretation,119
an empirical study on segmentation as a strategy in ec simultaneous interpretation,120
an analysis of the effect of changes in evs on interpreter performance,121
a tentative study on subjectless clauses in ce interpreting and coping tactics,122
an analysis of humor rendering in englishchinese simultaneous interpretation,123
evaluation of shanghai advanced credential test for interpreters,124
on application of schema theory in interpreting skill training,125
the influence of economy of notetaking on consecutive interpreting quality,126
an empirical study and pedagogic suggestions on chinese and english numerical interpreting for english majors,127
discourse analysis in consecutive interpretation learning a case study,128
the application of relevance theory to interpretation,129
empirical study on interpreting faithfulness evaluation,130
influence of notetaking skills on ec consecutive interpreting performance,131
application of communication strategies to consecutive interpreting of sinous joint press conference,132
the realization of optimal relevance in consecutive interpretation,133
noninterpretingmajor students language choice in notetaking for consecutive interpreting,134
the effect of background knowledge on consecutive interpreting by interpreting trainees,135
the influences of the text type of sl on the task complexity of chineseenglish interpreting,136
the experiment study of memory expertise in simultaneous interpreting,137
word order in chineseenglish simultaneous interpretion an initial exploration,138
the oral features of television interpreting and their effects on the audience,139
memory strategies of expert and novice interpreters in englishchinese simultaneous interpreting,140
the impact of chengyu on perceptions of interpreter performance,141
expertise development in interpreting,142
the effect of shadowing exercise in simultaneous interpreting efficiency,143
effect of task planning on grammatical accuracy in l2 oral interpretation,144
