,Academic Affiliation(s)
0,National Taiwan Normal University
1,National Taiwan Normal University
2,National Taiwan Normal University
3,National Taiwan Normal University
4,National Taiwan Normal University
5,Sun Yat-Sen University
6,Fu Jen Catholic University
7,Fu Jen catholic university
8,Beijing Foreign Studies University
9,Beijing Foreign Studies University
10,Beijing Foreign Studies University
11,Beijing Foreign Studies University
12,Beijing Foreign Studies University
13,Beijing Foreign Studies University
14,Beijing Foreign Studies University
15,Beijing Foreign Studies University
16,Beijing Foreign Studies University
17,Beijing Foreign Studies University
18,Beijing Foreign Studies University
19,Beijing Foreign Studies University
20,Beijing Foreign Studies University
21,Beijing Foreign Studies University
22,Beijing Foreign Studies University
23,Beijing Foreign Studies University
24,Beijing Foreign Studies University
25,Beijing Foreign Studies University
26,Beijing Foreign Studies University
27,Beijing Foreign Studies University
28,Beijing Foreign Studies University
29,Beijing Foreign Studies University
30,Beijing Foreign Studies University
31,Beijing Foreign Studies University
32,Beijing Foreign Studies University
33,Beijing Foreign Studies University
34,Beijing Foreign Studies University
35,Beijing Foreign Studies University
36,Beijing Foreign Studies University
37,Beijing Foreign Studies University
38,Beijing Foreign Studies University
39,Beijing Foreign Studies University
40,Beijing Foreign Studies University
41,Beijing Foreign Studies University
42,Beijing Foreign Studies University
43,Beijing Foreign Studies University
44,Beijing Foreign Studies University
45,Beijing Foreign Studies University
46,Beijing Foreign Studies University
47,Beijing Foreign Studies University
48,Beijing Foreign Studies University
49,Beijing Foreign Studies University
50,Beijing Foreign Studies University
51,Beijing Foreign Studies University
52,Beijing Foreign Studies University
53,Beijing Foreign Studies University
54,Beijing Foreign Studies University
55,Beijing Foreign Studies University
56,Beijing Foreign Studies University
57,Beijing Foreign Studies University
58,Beijing Foreign Studies University
59,Beijing Foreign Studies University
60,Beijing Foreign Studies University
61,Beijing Foreign Studies University
62,Beijing Foreign Studies University
63,Beijing Foreign Studies University
64,Beijing Foreign Studies University
65,Beijing Foreign Studies University
66,Beijing Foreign Studies University
67,Beijing Foreign Studies University
68,Beijing Foreign Studies University
69,Beijing Foreign Studies University
70,Beijing Foreign Studies University
71,Beijing Foreign Studies University
72,Beijing Foreign Studies University
73,Beijing Foreign Studies University
74,Beijing Foreign Studies University
75,Beijing Foreign Studies University
76,Beijing Foreign Studies University
77,Beijing Foreign Studies University
78,Beijing Foreign Studies University
79,Beijing Foreign Studies University
80,Beijing Foreign Studies University
81,Beijing Foreign Studies University
82,Beijing Foreign Studies University
83,Beijing Foreign Studies University
84,Beijing Foreign Studies University
85,Beijing Foreign Studies University
86,Beijing Foreign Studies University
87,Beijing Foreign Studies University
88,Beijing Foreign Studies University
89,Beijing Foreign Studies University
90,Beijing Foreign Studies University
91,Beijing Foreign Studies University
92,Beijing Foreign Studies University
93,Beijing Foreign Studies University
94,Beijing Foreign Studies University
95,Beijing Foreign Studies University
96,Beijing Foreign Studies University
97,Beijing Foreign Studies University
98,Beijing Foreign Studies University
99,Beijing Foreign Studies University
100,Beijing Foreign Studies University
101,Beijing Foreign Studies University
102,Beijing Foreign Studies University
103,Beijing Foreign Studies University
104,Beijing Foreign Studies University
105,Beijing Foreign Studies University
106,Beijing Foreign Studies University
107,Beijing Foreign Studies University
108,Beijing Foreign Studies University
109,Beijing Foreign Studies University
110,Beijing Foreign Studies University
111,Beijing Foreign Studies University
112,Beijing Foreign Studies University
113,Beijing Foreign Studies University
114,Beijing Foreign Studies University
115,Beijing Foreign Studies University
116,Beijing Foreign Studies University
117,Beijing Foreign Studies University
118,Beijing Foreign Studies University
119,Beijing Foreign Studies University
120,Beijing Foreign Studies University
121,Beijing Foreign Studies University
122,Beijing Foreign Studies University
123,Beijing Foreign Studies University
124,Central China Normal University
125,Central China Normal University
126,Central South University
127,Central South University
128,Chang Jung Christian University
129,Changchun University of Science and Technology
130,Changsha University of Science and Technology
131,China Foreign Affairs University
132,China University of Geosciences
133,Chongqing University
134,Chongqing University
135,Dalian University of Technology
136,East China Normal University
137,East China Normal University
138,Fu Jen Catholic University
139,Fu Jen Catholic University
140,Fu Jen Catholic University
141,Fu Jen Catholic University
142,Fu Jen Catholic University
143,Guangdong University of Foreign Studies
144,Guangdong University of Foreign Studies
145,Guangdong University of Foreign Studies
146,Guangdong University of Foreign Studies
147,Guangdong University of Foreign Studies
148,Guangdong University of Foreign Studies
149,Guangdong University of Foreign Studies
150,Guangdong University of Foreign Studies
151,Guangdong University of Foreign Studies
152,Guangdong University of Foreign Studies
153,Guangdong University of Foreign Studies
154,Guangdong University of Foreign Studies
155,Guangdong University of Foreign Studies
156,Guangdong University of Foreign Studies
157,Guangdong University of Foreign Studies
158,Guangdong University of Foreign Studies
159,Guangdong University of Foreign Studies
160,Guangdong University of Foreign Studies.
161,Guangxi Normal University
162,Guizhou University
163,Guizhou University
164,Huazhong University of Science and Technology
165,Hunan Normal University
166,Hunan University
167,Jiangsu University
168,Jilin University
169,Nanjing Normal University
170,Nanjing Normal University
171,Nanjing Normal University
172,National Changhua University of Education
173,National Changhua University of Education
174,National Taiwan Normal University
175,National Taiwan Normal University
176,National Taiwan Normal University
177,National Taiwan Normal University
178,National Taiwan University of Science and Technology
179,National Yunlin University of Science and Technology
180,Northwest Normal  University
181,Ocean University of China
182,Ocean University of China
183,Ocean University of China
184,Ocean University of China
185,Ocean University of China
186,Qufu Normal University
187,Shandong University
188,Shandong University
189,Shanghai International Studies University
190,Shanghai International Studies University
191,Shanghai International Studies University
192,Shanghai International Studies University
193,Shanghai International Studies University
194,Shanghai International Studies University
